language,sentiment,ngram,freq
fr,bad,salle bain petit,4
fr,bad,qualité cocktail all,3
fr,bad,cocktail all inclusif,2
fr,bad,all inclusif mauvais,2
fr,bad,all inclusif boisson,2
fr,bad,bon vin bon,2
fr,bad,douche côté piscine,2
fr,bad,toilette salle bain,2
fr,bad,all in décevant,2
fr,bad,plein mois juillet,2
fr,bad,alcool all inclusif,2
fr,bad,rangement salle bain,2
fr,bad,boisson all inclusif,2
fr,bad,buffet soirée animation,1
fr,bad,soirée animation ambiance,1
fr,bad,animation ambiance playlist,1
fr,bad,ambiance playlist clientèle,1
fr,bad,playlist clientèle jeune,1
fr,bad,hôtel colline escalier,1
fr,bad,colline escalier jour,1
