language,sentiment,ngram,freq
fr,good,rapport qualité prix,7
fr,good,piscine eau mer,6
fr,good,buffet varier bon,5
fr,good,bon rapport qualité,5
fr,good,personnel petit soin,4
fr,good,chambre spacieux propre,3
fr,good,vue chambre propre,2
fr,good,hôtel oeil fermé,2
fr,good,activité proximité quad,2
fr,good,chambre piscine vue,2
fr,good,chambre familial vue,2
fr,good,familial vue chambre,2
fr,good,réactif cas besoin,2
fr,good,chambre spacieux vue,2
fr,good,bel vue mer,2
fr,good,hôtel petit déjeuner,2
fr,good,vue chambre repas,2
fr,good,chambre amabilité personnel,2
fr,good,emplacement vue superbe,2
fr,good,chambre spacieux confortable,2
