language,sentiment,ngram,freq
en,good,room sea view,14
en,good,sea view room,11
en,good,staff friendly helpful,11
en,good,salt water pool,7
en,good,staff helpful friendly,6
en,good,food good variety,5
en,good,crystal clear water,5
en,good,room private pool,5
en,good,breakfast lunch dinner,5
en,good,view room great,4
en,good,location stunning view,4
en,good,good value money,4
en,good,room spacious comfortable,4
en,good,location great view,4
en,good,staff friendly room,4
en,good,room spacious great,3
en,good,pool sea water,3
en,good,great sea view,3
en,good,staff nice helpful,3
en,good,beach swimming pool,3
