language,sentiment,ngram,freq
en,bad,salt water pool,5
en,bad,hotel private beach,3
en,bad,animation team french,3
en,bad,entertainment french weird,2
en,bad,air conditioning room,2
en,bad,food quality good,2
en,bad,beach bar cocktail,2
en,bad,room main pool,2
en,bad,bar inclusive package,2
en,bad,room star hotel,2
en,bad,star hotel inclusive,2
en,bad,room beach towel,2
en,bad,sea water pool,2
en,bad,main swimming pool,2
en,bad,swimming pool small,2
en,bad,small toddler pool,2
en,bad,non french speaker,2
en,bad,main pool restaurant,2
en,bad,great tennis court,2
en,bad,drink beach bar,2
