language,sentiment,ngram,freq
de,good,freundlich personal essen,2
de,good,aussicht meer essen,2
de,good,freundlich personal schön,2
de,good,nett personal essen,2
de,good,zimmer pool essen,2
de,good,lage pool strand,2
de,good,zimmer eigen pool,2
de,good,één van de,2
de,good,essen freundlich personal,2
de,good,zimmer kostenlos upgrade,1
de,good,kostenlos upgrade zimmer,1
de,good,upgrade zimmer meerblick,1
de,good,zimmer meerblick eigen,1
de,good,meerblick eigen privatpool,1
de,good,eigen privatpool zimmer,1
de,good,privatpool zimmer meer,1
de,good,zimmer meer trubel,1
de,good,meer trubel restaurant,1
de,good,trubel restaurant pool,1
de,good,restaurant pool bett,1
